embedding_model,rouge1_f,rouge2_f,rougeL_f,bleu,semantic_similarity,f1,inference_time
all-MiniLM-L6-v2,0.03347624918921753,0.001777777777777778,0.0231911027218244,0.0028058014527573166,0.21186359425385792,0.02175910155005271,32.034225940704346
all-mpnet-base-v2,0.03826065944062381,0.0,0.029248265868130598,0.0038640708136207414,0.19248697857062022,0.03147274292236469,43.99314999580383
