k,rouge1_f,rouge2_f,rougeL_f,bleu,semantic_similarity,f1,inference_time
2,0.011746912764489083,0.0,0.011746912764489083,0.00040251323146569737,0.17982791153093178,0.00380952380952381,8.86167311668396
4,0.03347624918921753,0.001777777777777778,0.0231911027218244,0.0028058014527573166,0.21186359425385792,0.02175910155005271,19.1614511013031
8,0.05475228936936296,0.0010178117048346058,0.036126628064903035,0.0057170370668488645,0.261389314631621,0.0344720471671114,97.88216662406921
